name,ring,quadrant,isNew,description
Vue.js / Nuxt,use,languages & frameworks,FALSE,We use Nuxt for SSR and also make use of Vuex / VueCLI from the Vue.js stack. We plan to move to Vue.js 3.0
gRPC + Protobuf,use,languages & frameworks,FALSE,
Node.js,use,languages & frameworks,FALSE,
Golang,use,languages & frameworks,FALSE,"Primarily used for BE services with high IO workload. 
Refer to the internal wiki for further guidance. "
Python,use,languages & frameworks,FALSE,"Primarily used for workloads in BI/ML, data wrangling tasks and data loading patterns.
Refer to the internal wiki for further guidance. "
OpenSearch,use,languages & frameworks,FALSE,
Swift (iOS),use,languages & frameworks,FALSE,
Java (for Android),use,languages & frameworks,FALSE,
Sass,use,languages & frameworks,FALSE,
JavaScript,use,languages & frameworks,FALSE,
Ghost,use,platforms,FALSE,Used for Blog and Notifications
Chromium,use,platforms,FALSE,
AWS Cloud Services,use,platforms,FALSE,
Docker,use,platforms,FALSE,
Amazon RDS,use,platforms,FALSE,
Managed Kubernetes (EKS),use,platforms,FALSE,
AWS ALB,use,platforms,FALSE,In the critical path now for most traffic
Cloudflare,use,platforms,TRUE,Used as anti-spam
Firefox for iOS,use,platforms,TRUE,We build our iOS App on top of this.
Docker (for local development),use,techniques,FALSE,Used mainly for BE development at the moment
Code Reviews,use,techniques,FALSE,
Continuous Deployment,use,techniques,FALSE,
DevOps,use,techniques,FALSE,
T-Shaped Skills,use,techniques,FALSE,
Feature Flags,use,techniques,FALSE,
Test Coverage,use,techniques,FALSE,
Linting,use,techniques,FALSE,
Mobile First,use,techniques,FALSE,
Living Style Guide / Design System,use,techniques,FALSE,
RFC Process for new applications,use,techniques,FALSE,
Postmortems,use,techniques,FALSE,
Runbooks,use,techniques,FALSE,
Engineer On-Call (day time),use,techniques,FALSE,
Test Plan in Mind Map format,use,techniques,TRUE,"Helps to visualize the steps, flows and impact for a specific feature. https://miro.com/app/board/o9J_lulXqTo=/"
Jupyter Notebooks,use,tools,FALSE,
ElasticSearch + Kibana (Snowplow QA),use,tools,FALSE,
CircleCI,use,tools,FALSE,
GitHub,use,tools,FALSE,
Pagerduty,use,tools,FALSE,
Terraform,use,tools,FALSE,
Prometheus,use,tools,FALSE,We want to try a managed solution
Grafana,use,tools,FALSE,We want to try a managed solution
Yarn,use,tools,FALSE,
Snowplow,use,tools,FALSE,
Amazon Redshift,use,tools,FALSE,
Amazon Athena,use,tools,FALSE,
AWS Glue,use,tools,FALSE,
Sentry,use,tools,FALSE,
Speedcurve,use,tools,FALSE,
Pingdom,use,tools,FALSE,
Flagr,use,tools,FALSE,Used for feature toggles and A/B testing
Lighthouse,use,tools,FALSE,
Looker,use,tools,FALSE,
Vault,use,tools,FALSE,Replace with SOPS ?
OpenVPN,use,tools,FALSE,
Make files,use,tools,FALSE,
Cypress,use,tools,FALSE,
Jest,use,tools,FALSE,
Airflow,use,tools,FALSE,
Storybook,use,tools,FALSE,Design System Page
mbt,use,tools,FALSE,
cookiecutter,use,tools,FALSE,
Loki,use,tools,FALSE,
Alertmanager,use,tools,FALSE,
Webpack,use,tools,FALSE,
Helmfile,use,tools,FALSE,
Jsonnet,use,tools,FALSE,Potentially replaced by Kustomize
dbt,use,tools,TRUE,dbt (data building tool) is a command-line tool that enables data analysts and engineers to transform data simply by writing SQL statements (it also includes some jinja templating for implementing testing logic)
poetry,use,tools,TRUE,Python packaging and dependency management made easy (https://github.com/python-poetry/poetry)
Zephyr,use,tools,TRUE,Testing management. https://marketplace.atlassian.com/apps/1014681/zephyr-squad-test-management-for-jira?tab=overview&hosting=cloud
BrowserStack,use,tools,FALSE,Simulate different web browser/OS/devices/versions both for manual tests and automation
TypeScript,trial,languages & frameworks,FALSE,Used in only one external project for now
